Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,10330,
2,Alexander Zverev,27,GER,7545,
3,Carlos Alcaraz,21,ESP,6710,
4,Taylor Fritz,27,USA,4890,
5,Novak Djoković,37,SRB,3860,
6,Jack Draper,23,GBR,3770,+1
7,Casper Ruud,26,NOR,3755,-1
8,Andrey Rublev,27,RUS,3440,+1
9,Stefanos Tsitsipas,26,GRE,3405,+1
10,Daniil Medvedev,29,RUS,3280,-2
11,Holger Rune,21,DEN,3260,+1
12,Alex de Minaur,26,AUS,3235,-1
13,Tommy Paul,27,USA,3020,
14,Ben Shelton,22,USA,2930,
15,Lorenzo Musetti,23,ITA,2550,+1
16,Frances Tiafoe,27,USA,2475,+1
17,Arthur Fils,20,FRA,2470,+1
18,Félix Auger-Aliassime,24,CAN,2415,+1
19,Ugo Humbert,26,FRA,2325,+1
20,Tomáš Macháč,24,CZE,2110,+1
21,Hubert Hurkacz,28,POL,2105,+1
22,Grigor Dimitrov,33,BUL,2095,-7
23,Karen Khachanov,28,RUS,1900,
24,Francisco Cerúndolo,26,ARG,1875,
25,Sebastian Korda,24,USA,1810,
26,Alexei Popyrin,25,AUS,1750,
27,Jiří Lehečka,23,CZE,1735,
28,Denis Shapovalov,25,CAN,1666,
29,Giovanni Mpetshi Perricard,21,FRA,1644,
30,Matteo Berrettini,28,ITA,1580,
31,Alejandro Tabilo,27,CHI,1525,
32,Brandon Nakashima,23,USA,1470,
33,Alex Michelsen,20,USA,1435,
34,Sebastián Báez,24,ARG,1385,+2
35,Tallon Griekspoor,28,NED,1370,-1
36,Jordan Thompson,30,AUS,1365,+1
37,Lorenzo Sonego,29,ITA,1356,+1
38,Matteo Arnaldi,24,ITA,1310,-3
39,Alexandre Müller,28,FRA,1287,+2
40,Nuno Borges,28,POR,1280,+2
41,Tomás Martín Etcheverry,25,ARG,1275,+3
42,Alejandro Davidovich Fokina,25,ESP,1275,-3
43,Flavio Cobolli,22,ITA,1250,
44,Marcos Giron,31,USA,1230,+1
45,Pedro Martínez,27,ESP,1205,-5
46,Gaël Monfils,38,FRA,1180,
47,Miomir Kecmanović,25,SRB,1161,+1
48,Jan Lennard Struff,34,GER,1110,+1
49,Zizou Bergs,25,BEL,1065,+2
50,Roberto Carballés Baena,31,ESP,1046,+3
51,Zhizhen Zhang,28,CHN,1045,+1
52,Roberto Bautista Agut,36,ESP,1039,-2
53,Jakub Menšík,19,CZE,1032,+1
54,David Goffin,34,BEL,993,+1
55,Jaume Munar,27,ESP,992,+1
56,Quentin Halys,28,FRA,981,+1
57,Nicolás Jarry,29,CHI,965,-10
58,Juncheng Shang,20,CHN,945,
59,Luciano Darderi,23,ITA,945,+2
60,Mariano Navone,24,ARG,925,+2
61,Benjamin Bonzi,28,FRA,920,+2
62,Joao Fonseca,18,BRA,911,-2
63,Kei Nishikori,35,JPN,873,+1
64,Learner Tien,19,USA,867,+2
65,Francisco Comesaña,24,ARG,866,+2
66,Camilo Ugo Carabelli,25,ARG,866,-1
67,Damir Džumhur,32,BIH,852,+3
68,Yunchaokete Bu,23,CHN,851,+1
69,Yoshihito Nishioka,29,JPN,846,-1
70,Mattia Bellucci,23,ITA,838,+2
71,Roman Safiullin,27,RUS,831,
72,Hamad Medjedović,21,SRB,829,+1
73,Arthur Rinderknech,29,FRA,821,+1
74,Aleksandar Vukic,28,AUS,814,+3
